Inicio de lectura del dataset
Procesamiento de las imagenes
Inicio de creacion de la red
No se encontro puntos de control.
Ultimo modelo en la iteracion:  0
Sesion restaurada de: /media/josuetavara/Gaston/mnist/mnistDS/CNN/modelos2/modelo-1200
Ultimo modelo en la iteracion:  1200
En la iteracion 1250 , Acierto de Validacion => 0.9893 
En la iteracion 1300 , Acierto de Validacion => 0.9893 
En la iteracion 1350 , Acierto de Validacion => 0.9922 
En la iteracion 1400 , Acierto de Validacion => 0.9902 
En la iteracion 1450 , Acierto de Validacion => 0.9893 
En la iteracion 1500 , Acierto de Validacion => 0.9893 
Guardando modelo en 1500 iteraciones....
En la iteracion 1550 , Acierto de Validacion => 0.9873 
En la iteracion 1600 , Acierto de Validacion => 0.9893 
En la iteracion 1650 , Acierto de Validacion => 0.9893 
En la iteracion 1700 , Acierto de Validacion => 0.9873 
En la iteracion 1750 , Acierto de Validacion => 0.9912 
En la iteracion 1800 , Acierto de Validacion => 0.9893 
Guardando modelo en 1800 iteraciones....
Guardando modelo en 1800 iteraciones....
Tiempo usado en 600 iteraciones: 0:19:30 


Inicio de lectura del dataset
Procesamiento de las imagenes
Inicio de creacion de la red
Sesion restaurada de: /media/josuetavara/Gaston/mnist/mnistDS/CNN/modelos2/modelo-1800
Ultimo modelo en la iteracion:  1800
En la iteracion 1850 , Acierto de Validacion => 0.9893 
En la iteracion 1900 , Acierto de Validacion => 0.9922 
En la iteracion 1950 , Acierto de Validacion => 0.9922 
En la iteracion 2000 , Acierto de Validacion => 0.9922 
En la iteracion 2050 , Acierto de Validacion => 0.9912 
En la iteracion 2100 , Acierto de Validacion => 0.9912 
Guardando modelo en 2100 iteraciones....
En la iteracion 2150 , Acierto de Validacion => 0.9893 
En la iteracion 2200 , Acierto de Validacion => 0.9893 
En la iteracion 2250 , Acierto de Validacion => 0.9902 
En la iteracion 2300 , Acierto de Validacion => 0.9902 
En la iteracion 2350 , Acierto de Validacion => 0.9922 
En la iteracion 2400 , Acierto de Validacion => 0.9902 
Guardando modelo en 2400 iteraciones....
Tiempo usado en 600 iteraciones: 0:17:49 


Inicio de lectura del dataset
Procesamiento de las imagenes
Inicio de creacion de la red
Sesion restaurada de: /media/josuetavara/Gaston/mnist/mnistDS/CNN/modelos2/modelo-2400
Ultimo modelo en la iteracion:  2400
En la iteracion 2425 , Acierto de Validacion => 0.9873 
En la iteracion 2450 , Acierto de Validacion => 0.9912 
En la iteracion 2475 , Acierto de Validacion => 0.9863 
En la iteracion 2500 , Acierto de Validacion => 0.9902 
En la iteracion 2525 , Acierto de Validacion => 0.9893 
En la iteracion 2550 , Acierto de Validacion => 0.9912 
En la iteracion 2575 , Acierto de Validacion => 0.9922 
En la iteracion 2600 , Acierto de Validacion => 0.9902 
En la iteracion 2625 , Acierto de Validacion => 0.9912 
En la iteracion 2650 , Acierto de Validacion => 0.9912 
En la iteracion 2675 , Acierto de Validacion => 0.9912 
En la iteracion 2700 , Acierto de Validacion => 0.9902 
Guardando modelo en 2700 iteraciones....
En la iteracion 2725 , Acierto de Validacion => 0.9912 
En la iteracion 2750 , Acierto de Validacion => 0.9912 
En la iteracion 2775 , Acierto de Validacion => 0.9893 
En la iteracion 2800 , Acierto de Validacion => 0.9902 
En la iteracion 2825 , Acierto de Validacion => 0.9902 
En la iteracion 2850 , Acierto de Validacion => 0.9893 
En la iteracion 2875 , Acierto de Validacion => 0.9883 
En la iteracion 2900 , Acierto de Validacion => 0.9922 
En la iteracion 2925 , Acierto de Validacion => 0.9902 
En la iteracion 2950 , Acierto de Validacion => 0.9912 
En la iteracion 2975 , Acierto de Validacion => 0.9902 
En la iteracion 3000 , Acierto de Validacion => 0.9883 
Guardando modelo en 3000 iteraciones....
Tiempo usado en 600 iteraciones: 0:18:24 
